Date,Close,High,Low,Open,Volume
17-01-2023,134.5253448,135.861287,132.734183,133.4268954,63646600
18-01-2023,133.802948,137.16756,133.6248133,135.3961942,69672800
19-01-2023,133.8623505,134.8321481,132.3779598,132.6847315,58280400
20-01-2023,136.4352417,136.5836898,132.8232317,133.8721983,80223600
23-01-2023,139.6415405,141.8285488,136.4649387,136.6826505,81760300
24-01-2023,141.0467529,141.6702016,138.8399638,138.8498543,66435100
25-01-2023,140.3837585,140.9478191,137.3654948,139.4238515,65799300
26-01-2023,142.4618988,142.7488743,140.4233233,141.6801114,54105100
27-01-2023,144.4113617,145.6978362,141.5910295,141.6701988,70555800
30-01-2023,141.5118866,144.0353533,141.3634536,143.4514967,64015300
31-01-2023,142.7884216,142.8379043,140.7993444,141.2149718,65874500
01-02-2023,143.9165802,145.0843084,139.8493653,142.4717821,77663600
02-02-2023,149.2504883,149.6067274,146.6280566,147.3504556,118339000
03-02-2023,152.8921814,155.7422152,146.2915952,146.4895108,154357300
06-02-2023,150.1510468,151.5068004,149.2109358,150.9823169,69858300
07-02-2023,153.0406342,153.6146002,149.0723695,149.0723695,83322600
08-02-2023,150.339035,152.9713572,149.5968399,152.2786448,64120100
09-02-2023,149.2999725,152.7239728,148.8546585,152.1796934,56007100
10-02-2023,149.6667023,149.9937686,147.8926317,148.1305022,57450700
13-02-2023,152.4814301,152.8877714,149.5774861,149.607218,62199000
14-02-2023,151.837204,152.4021408,149.5180231,150.7668093,61707600
15-02-2023,153.9482727,154.1167587,151.5200696,151.7480194,65573800
16-02-2023,152.3426666,154.9393554,151.9858684,152.1444336,68167900
17-02-2023,151.1929779,151.6389719,149.5081035,150.9947601,59144100
21-02-2023,147.1591949,149.954117,147.0898255,148.8638959,58867200
22-02-2023,147.5853729,148.6161149,145.8509401,147.5457203,51011300
23-02-2023,148.0709991,149.0026398,145.930225,148.7548636,48394200
24-02-2023,145.404953,145.8806789,144.4237541,145.8013888,55469600
27-02-2023,146.6041565,147.843037,146.1383362,146.396033,44998500
28-02-2023,146.0987244,147.7538671,145.5238819,145.7419261,50547000
01-03-2023,144.0173798,145.9202984,143.7200454,145.5238627,55479000
02-03-2023,144.6120605,145.4049472,142.6199308,143.0956719,52238100
03-03-2023,149.6865082,149.7657984,146.0194246,146.7231003,70732300
06-03-2023,152.4616089,154.9096382,152.0949051,152.4219562,87558000
07-03-2023,150.2514343,152.6598108,149.785614,152.3327445,56182000
08-03-2023,151.5101471,152.1048159,150.479405,151.4506832,47204800
09-03-2023,149.2503967,153.1652558,148.8935986,152.1939778,53833600
10-03-2023,147.1790009,149.597298,146.2969186,148.873796,68572400
